Name,S1,S2,S3,S4,S5,S6,S7,S8
Group,WT,WT,WT,WT,Treatment,Treatment,Treatment,Treatment
"4.81_385.12866_polar",1504,1212,1004,1676,1426,1710,1212,2068
"4.82_170.06558_polar",3210,0,0,0,0,3104,2998,0
"4.84_130.09758_polar",1172,820,1110,1120,1340,1180,1110,1292
"4.84_349.23065_polar",564,0,656,914,1212,1930,1264,1152
"4.86_203.57711_polar",940,1966,678,852,0,900,1306,1262
"4.87_360.11553_polar",1420,1456,1370,1804,0,0,0,174
"4.87_422.08733_polar",614,1142,626,1642,964,2018,868,1584
"4.88_295.09572_polar",7322,9482,9880,7712,13034,9952,12250,10040
"4.9_179.07933_polar",470,562,554,550,1030,336,598,726
"4.94_573.17911_polar",5218,7358,7760,7844,10846,7514,7828,8858
"4.93_110.07123_polar",1570,1844,1390,2264,2362,1668,1886,2254
"4.94_446.15947_polar",1738,0,958,0,1306,1332,1540,1212
"4.95_418.12131_polar",1446,1776,0,2416,316,290,248,0
"4.95_547.16345_polar",23174,20962,18150,25754,1416,880,1256,1400
"4.95_553.19821_polar",5204,4354,2750,4704,64,0,0,202
"4.98_323.16416_polar",2978,2694,1926,3570,0,196,296,222
"5_501.19327_polar",8606,8302,10384,12596,0,0,0,0
"4.99_172.06036_polar",2106,2038,1434,2284,220,0,160,0
"5.01_331.16205_polar",7864,7820,8746,8076,12970,9580,11038,10184
"5.03_325.16162_polar",2550,2210,870,3674,810,842,620,782
"5.06_605.16941_polar",1320,2332,1290,1742,0,162,0,0
"5.06_546.17909_polar",8452,8360,6522,9302,0,772,0,744
"5.05_539.18293_polar",14646,13234,8192,14474,340,364,0,592
"5.06_393.12508_polar",1532,1744,1226,1514,0,0,0,0
"5.07_370.09933_polar",4102,2244,6554,2426,4264,4094,4342,4516
"5.08_577.17321_polar",2716,2280,4348,2134,3526,3290,3474,3144
"5.08_208.0464_polar",10906,7572,16158,7746,13868,10268,11058,10272
"5.08_257.1243_polar",2960,2868,2754,2900,288,262,296,484
"5.1_635.1794_polar",13640,15754,11890,17984,1550,1182,1214,1226
